score,tier,verification_status,title,company,salary,location,remote/hybrid/on-site,estimated_hours,hours_confidence,acting_compatibility_score,film_relevance,accessibility,reason_to_apply,red_flags,date_posted,verification_timestamp,direct_application_url
71.2,APPLY - GOOD FIT,UNCERTAIN,Documentation Specialist,Remote.com,UNKNOWN,Remote,Remote,36-39 h/wk,LIKELY,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 18/20; ~36-39 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:15Z,https://boards.greenhouse.io/remotecom/jobs/4812828003
71.2,APPLY - GOOD FIT,UNCERTAIN,"Press & Industry Services Coordinator, New York Film Festival",Film at Lincoln Center,UNKNOWN,"New York, NY",On-site,33-36 h/wk,UNCERTAIN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~33-36 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:16Z,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2455754
71.2,APPLY - GOOD FIT,UNCERTAIN,"Associate, Marketing Outreach & Engagement",Film at Lincoln Center,UNKNOWN,"New York, NY",On-site,33-36 h/wk,UNCERTAIN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~33-36 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:17Z,https://recruiting.paylocity.com/recruiting/jobs/Details/620544/Film-at-Lincoln-Center-Inc/FILM---Associate-Marketing-Outreach-Engagement
71.2,APPLY - GOOD FIT,UNCERTAIN,"AI Data Trainer, English Language",Cohere,UNKNOWN,Remote,Remote,36-39 h/wk,LIKELY,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 18/20; ~36-39 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:17Z,https://jobs.ashbyhq.com/cohere/492d8254-096e-416d-92a7-d04a08dd76ce
70.5,APPLY - GOOD FIT,UNCERTAIN,"Executive Assistant, Content & Programming",Vevo,UNKNOWN,"New York, NY",Hybrid,40-48 h/wk,UNCERTAIN,21.5,high,strong,entertainment development; acting-compat 22/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: strong,none detected,UNKNOWN,2026-09-06T13:56:17Z,https://jobs.lever.co/vevo/0e6a7fd1-963e-42ea-bb8b-215b6e7f1714
70.0,APPLY - GOOD FIT,UNCERTAIN,Research Analyst,Vocal Media,UNKNOWN,Remote,Remote,38-42 h/wk,UNCERTAIN,26.5,low,plausible,research writing; acting-compat 26/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:17Z,https://jobs.lever.co/get-vocal-pbc/552b5a34-a0e0-4e2a-b0a7-87b4b8dd38a9
70.0,APPLY - GOOD FIT,UNCERTAIN,Research Archivist,Heritage Werks,UNKNOWN,"Remote / Atlanta, GA",Remote,38-42 h/wk,UNCERTAIN,26.5,low,plausible,research writing; acting-compat 26/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:18Z,https://apply.workable.com/heritage-werks-inc/j/6E71733257/
70.0,APPLY - GOOD FIT,UNCERTAIN,Program Coordinator,Research Foundation CUNY,UNKNOWN,"New York, NY",On-site,35 h/wk,KNOWN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:18Z,https://rfcuny.wd108.myworkdayjobs.com/en-US/RFCUNY/job/Program-Coordinator_JR151
70.0,APPLY - GOOD FIT,UNCERTAIN,Program Coordinator,City of New York,UNKNOWN,"New York, NY",On-site,35 h/wk,KNOWN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:18Z,https://jobs.smartrecruiters.com/CityOfNewYork/3743990006705755-program-coordinator
70.0,APPLY - GOOD FIT,UNCERTAIN,Program Coordinator (Queens),City of New York,UNKNOWN,"Queens, NY",On-site,35 h/wk,KNOWN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:19Z,https://jobs.smartrecruiters.com/CityOfNewYork/3743990006533491-program-coordinator
70.0,APPLY - GOOD FIT,UNCERTAIN,Evaluators for AI training (English language),TSMG,UNKNOWN,Remote,Remote,34-36 h/wk,LIKELY,28.5,none,plausible,freedom professional; acting-compat 28/30; workload 20/20; ~34-36 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:19Z,https://jobs.lever.co/tsmg/d7d0e689-ae9a-4b00-8ed7-68c0abe0d8c9
70.0,APPLY - GOOD FIT,UNCERTAIN,Archivist,City of New York,UNKNOWN,"New York, NY",On-site,35 h/wk,KNOWN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:19Z,https://jobs.smartrecruiters.com/CityOfNewYork/3743990003362796-archivist
70.0,APPLY - GOOD FIT,UNCERTAIN,Policy Associate,Research Foundation CUNY,UNKNOWN,"New York, NY",On-site,35 h/wk,KNOWN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:19Z,https://rfcuny.wd108.myworkdayjobs.com/en-US/RFCUNY/job/Policy-Associate_JR962
69.0,APPLY - GOOD FIT,UNCERTAIN,"Editorial Assistant, Opinion",The New York Times,UNKNOWN,"New York, NY",Hybrid,38-42 h/wk,UNCERTAIN,24.0,low,plausible,research writing; acting-compat 24/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:20Z,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4549532005
68.5,APPLY - GOOD FIT,UNCERTAIN,Associate Researcher,Instructure,UNKNOWN,"Remote, United States",Remote,37-42 h/wk,UNCERTAIN,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:20Z,https://jobs.ashbyhq.com/instructure/8b96a5c8-5340-499c-a354-e5c280f756ab
68.0,APPLY - GOOD FIT,UNCERTAIN,Creative Producer,Nen Creative,UNKNOWN,New York / SF / LA (remote-friendly),Remote,37-42 h/wk,UNCERTAIN,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:20Z,https://jobs.ashbyhq.com/nen-creative/c8fc3299-a896-4fd0-a8f8-562478156e21
67.8,APPLY - GOOD FIT,UNCERTAIN,Content Producer (AI-First & Video Specialist),Sonar,UNKNOWN,Remote,Remote,40-48 h/wk,UNCERTAIN,24.0,medium,plausible,ai creative production; acting-compat 24/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:20Z,https://jobs.lever.co/sonarsource/1ee336ff-5e1a-40c6-abc0-45340268a419
67.5,APPLY - GOOD FIT,UNCERTAIN,"Researcher, Opinion",The New York Times,UNKNOWN,"New York, NY",Hybrid,38-42 h/wk,UNCERTAIN,24.0,low,plausible,research writing; acting-compat 24/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:21Z,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4549556005
67.0,APPLY - GOOD FIT,UNCERTAIN,Experience Designer,Deeplocal,UNKNOWN,Remote / Pittsburgh,Remote,37-42 h/wk,UNCERTAIN,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:21Z,https://job-boards.greenhouse.io/deeplocal/jobs/8167980
66.8,APPLY - GOOD FIT,UNCERTAIN,Executive Research & Operations Assistant (AI-Powered),Assist World,UNKNOWN,Remote,Remote,40 h/wk,KNOWN,23.5,low,plausible,research writing; acting-compat 24/30; workload 11/20; ~40 h/wk (KNOWN); accessibility: plausible,weekend work,UNKNOWN,2026-09-06T13:56:21Z,https://jobs.lever.co/assist-world/495484c3-d5ed-4fce-8681-8a4806e12770
66.8,APPLY - GOOD FIT,UNCERTAIN,"Video Editor (In-House, AI Video)",One Impression,UNKNOWN,Remote,Remote,40-48 h/wk,UNCERTAIN,24.0,medium,plausible,ai creative production; acting-compat 24/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:22Z,https://jobs.lever.co/oneimpression/2a8cd5ff-c151-4fb7-998c-dab2835e340f
66.7,APPLY - GOOD FIT,UNCERTAIN,Production Coordinator,Scorpion Enterprises,UNKNOWN,"Remote, United States",Remote,41-48 h/wk,UNCERTAIN,24.0,high,plausible,physical production; acting-compat 24/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:22Z,https://job-boards.greenhouse.io/scorpionenterprisesllc/jobs/5387542008
66.7,APPLY - GOOD FIT,UNCERTAIN,Post-Production Coordinator,Scorpion Enterprises,UNKNOWN,"Remote, United States",Remote,41-48 h/wk,UNCERTAIN,24.0,high,plausible,physical production; acting-compat 24/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:22Z,https://job-boards.greenhouse.io/scorpionenterprisesllc/jobs/5290152008
66.5,APPLY - GOOD FIT,UNCERTAIN,AI Creative Producer,Vocal Media,UNKNOWN,Remote,Remote,40-48 h/wk,UNCERTAIN,24.0,medium,plausible,ai creative production; acting-compat 24/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:22Z,https://jobs.lever.co/get-vocal-pbc/3bf0e26a-0aac-49a1-9eba-c18ca6ebc174
65.7,APPLY - GOOD FIT,UNCERTAIN,"Video Production and Planning Coordinator, Reporter Video",The New York Times,UNKNOWN,"New York, NY",Hybrid,41-48 h/wk,UNCERTAIN,21.5,high,plausible,physical production; acting-compat 22/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:23Z,https://job-boards.greenhouse.io/thenewyorktimes/jobs/4550154005
65.5,APPLY - GOOD FIT,UNCERTAIN,Frontend Web Developer (three.js),Valerie Group,UNKNOWN,Remote / New York,Remote,40-48 h/wk,UNCERTAIN,24.0,medium,plausible,ai creative production; acting-compat 24/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:23Z,https://jobs.ashbyhq.com/valerie-group/742d256a-30bd-4aeb-aa52-cbc12f471c33
65.2,APPLY - GOOD FIT,UNCERTAIN,"Production Coordinator (Remote, US) - Contract",Newsela,UNKNOWN,"Remote, US",Remote,41-48 h/wk,UNCERTAIN,24.0,high,strong,physical production; acting-compat 24/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: strong,none detected,UNKNOWN,2026-09-06T13:56:23Z,https://job-boards.greenhouse.io/newsela/jobs/8044185
65.0,APPLY - GOOD FIT,UNCERTAIN,"Editorial Assistant, The New Yorker",Conde Nast,UNKNOWN,"1 World Trade Center, New York, NY",On-site,38-42 h/wk,UNCERTAIN,20.0,low,plausible,research writing; acting-compat 20/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:23Z,https://condenast.wd5.myworkdayjobs.com/en-US/CondeCareers/job/Editorial-Assistant--The-New-Yorker_R-23702-2
65.0,APPLY - GOOD FIT,UNCERTAIN,"Assistant Editor, Talk of the Town, The New Yorker",Conde Nast,UNKNOWN,"1 World Trade Center, New York, NY",On-site,38-42 h/wk,UNCERTAIN,20.0,low,plausible,research writing; acting-compat 20/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:24Z,https://condenast.wd5.myworkdayjobs.com/en-US/CondeCareers/job/1-World-Trade-Center-New-York-NY/Assistant-Editor--Talk-of-the-Town--The-New-Yorker_R-20550-2
65.0,APPLY - GOOD FIT,UNCERTAIN,"Editorial Assistant, Conde Nast Traveler",Conde Nast,UNKNOWN,"New York, NY",On-site,38-42 h/wk,UNCERTAIN,20.0,low,plausible,research writing; acting-compat 20/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:24Z,https://condenast.wd5.myworkdayjobs.com/en-US/CondeCareers/job/Editorial-Assistant--CNT_R-18199-1
65.0,APPLY - GOOD FIT,UNCERTAIN,Editorial Assistant,The New York Times,UNKNOWN,"New York, NY",On-site,38-42 h/wk,UNCERTAIN,20.0,low,plausible,research writing; acting-compat 20/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:24Z,https://nytimes.wd5.myworkdayjobs.com/en-US/NYT/job/New-York-NY/Editorial-Assistant_REQ-008063-1
63.5,STRETCH,UNCERTAIN,Fashion Strategist,WGSN,UNKNOWN,"New York, NY",On-site,38-42 h/wk,UNCERTAIN,20.0,low,plausible,research writing; acting-compat 20/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:25Z,https://jobs.lever.co/wgsn/afd75492-f0e8-434e-b67d-e33a8cf22bd4
63.5,STRETCH,UNCERTAIN,Analyst (People and Market Research),SPMB,UNKNOWN,"New York, NY",On-site,38-42 h/wk,UNCERTAIN,20.0,low,plausible,research writing; acting-compat 20/30; workload 14/20; ~38-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:25Z,https://jobs.lever.co/spmb/9255ef91-f155-4bbc-8ba3-a39e64135e59
63.2,STRETCH,UNCERTAIN,"Coordinator, Development",NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:25Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000077105495-coordinator-development
63.0,STRETCH,UNCERTAIN,Digital Content Operations Associate,TubeScience,UNKNOWN,Remote / Los Angeles,Remote,40-45 h/wk,UNCERTAIN,24.0,medium,plausible,content media; acting-compat 24/30; workload 9/20; ~40-45 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:26Z,https://job-boards.greenhouse.io/tubescience52/jobs/5083931007
62.9,STRETCH,UNCERTAIN,"Creative Producer, Vox Media Podcast Network",Vox Media,UNKNOWN,"New York, NY",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:26Z,https://job-boards.greenhouse.io/voxmedia/jobs/8119945
62.7,STRETCH,UNCERTAIN,"Coordinator - Promotions & Ops, Films Group",AMC Networks,UNKNOWN,"New York, NY (IFC Center)",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:26Z,https://amcn.wd5.myworkdayjobs.com/en-US/amcnetworks/job/New-York-NY/Coordinator---Promotions---Ops_R-4927-1
62.2,STRETCH,UNCERTAIN,"TITOL Product Development, Assistant",Complex,UNKNOWN,"New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:27Z,https://jobs.lever.co/Complex/cd95451e-2f0c-430f-8b35-22ab81f3aa0e
62.2,STRETCH,UNCERTAIN,Creative Producer,Avoca,UNKNOWN,"New York, NY",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:27Z,https://jobs.ashbyhq.com/avoca/acc0551d-ca88-4cd2-b647-2d8e9a699bd4
62.0,STRETCH,UNCERTAIN,AI Creative Producer,ElevenLabs,UNKNOWN,"New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,medium,plausible,ai creative production; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:27Z,https://jobs.ashbyhq.com/elevenlabs/3178581d-ea70-4dee-b018-2ce2d2a18bbe
62.0,STRETCH,UNCERTAIN,"Coordinator, Streaming & Commercial Strategy",Universal Music Group,UNKNOWN,"New York, NY",On-site,37-42 h/wk,UNCERTAIN,20.0,none,plausible,freedom professional; acting-compat 20/30; workload 14/20; ~37-42 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:27Z,https://umusic.wd5.myworkdayjobs.com/en-US/UMGUS/job/Coordinator--Streaming-and-Revenue-Strategy_UMG-25240
61.9,STRETCH,UNCERTAIN,Assistant to Film Producer,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:28Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000138713449-assistant-to-film-producer
61.7,STRETCH,UNCERTAIN,"Producer, AI & VFX Production",Promise Studios,UNKNOWN,New York / Los Angeles,On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:28Z,https://jobs.ashbyhq.com/promise-studios/12e18f67-1c87-4564-a1b6-acf7692ed694
61.5,STRETCH,UNCERTAIN,"Coordinator, Development, NBC Prime",NBCUniversal,UNKNOWN,"1221 Avenue of the Americas, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:28Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000102669875-coordinator-development-nbc-prime
61.5,STRETCH,UNCERTAIN,"Coordinator, Development, Bravo",NBCUniversal,UNKNOWN,"1221 Avenue of the Americas, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:28Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000096882195-coordinator-development-bravo
61.5,STRETCH,UNCERTAIN,"Coordinator, Development, News, Syndication & Portfolio",NBCUniversal,UNKNOWN,"1221 Avenue of the Americas, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:29Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000097071765-coordinator-development-news-syndication-portfolio
61.5,STRETCH,UNCERTAIN,"Coordinator, Development, Late Night",NBCUniversal,UNKNOWN,"1221 Avenue of the Americas, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:29Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000096693055-coordinator-development-late-night
61.5,STRETCH,UNCERTAIN,Programming Coordinator,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:30Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000109814955-programming-coordinator
61.5,STRETCH,UNCERTAIN,"Coordinator, Programming Strategy",NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:30Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000061256117-coordinator-programming-strategy
61.5,STRETCH,UNCERTAIN,"Coordinator, Content Strategy and Acquisitions",AMC Networks,UNKNOWN,"New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,high,plausible,entertainment development; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:30Z,https://amcn.wd5.myworkdayjobs.com/en-US/amcnetworks/job/Coordinator--Content-Strategy-and-Acquisitions_R-4886
61.5,STRETCH,UNCERTAIN,Casting Assistant,Rockstar Games,UNKNOWN,"New York, NY (Downtown Manhattan)",On-site,38-44 h/wk,LIKELY,19.4,none,plausible,freedom professional; acting-compat 19/30; workload 12/20; ~38-44 h/wk (LIKELY); accessibility: plausible,tight deadlines,UNKNOWN,2026-09-06T13:56:31Z,https://job-boards.greenhouse.io/rockstargames/jobs/6093712003
61.3,STRETCH,UNCERTAIN,AI Creative Producer - Ads,ElevenLabs,UNKNOWN,"New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,medium,plausible,ai creative production; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:31Z,https://jobs.ashbyhq.com/elevenlabs/2451b957-0ece-4e73-88e4-4196aac0ba86
61.3,STRETCH,UNCERTAIN,AI Creative Producer (UGC Ads),Wabi,UNKNOWN,"New York, NY",On-site,40-48 h/wk,UNCERTAIN,17.5,medium,plausible,ai creative production; acting-compat 18/30; workload 9/20; ~40-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:31Z,https://jobs.ashbyhq.com/wabi/6a3cfdf8-abf6-4441-b648-21851fcdd2ee
61.2,STRETCH,UNCERTAIN,Assistant Associate Producer,NBCUniversal,UNKNOWN,"30 Rockefeller Plaza, New York, NY",On-site,41-48 h/wk,UNCERTAIN,17.5,high,plausible,physical production; acting-compat 18/30; workload 9/20; ~41-48 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:31Z,https://jobs.smartrecruiters.com/NBCUniversal3/744000097583475-assistant-associate-producer
