employer,industry,careers_url,ats,why_relevant,last_checked,check_status,current_matching_jobs
A+E Global Media,television network,UNRESOLVED,UNKNOWN,NYC HQ; unscripted development,2026-09-06T13:42:04Z,unresolved,0
All3Media America,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted,2026-09-06T13:43:06Z,blocked,0
Anonymous Content,production company,UNRESOLVED,UNKNOWN,NYC office; development/management,2026-09-06T13:43:06Z,blocked,0
Anthology Film Archives,film archive,UNRESOLVED,UNKNOWN,NYC archive,2026-09-06T13:43:06Z,blocked,0
Arcade Edit,post-production house,UNRESOLVED,UNKNOWN,editorial,2026-09-06T13:43:06Z,blocked,0
ArtClass,commercial production,UNRESOLVED,UNKNOWN,NYC branded content,2026-09-06T13:43:06Z,blocked,0
Banijay Americas,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted development,2026-09-06T13:43:06Z,blocked,0
Big Beach,production company,UNRESOLVED,UNKNOWN,NYC indie producer,2026-09-06T13:43:06Z,blocked,0
Biscuit Filmworks,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Black Forest Labs,ai media startup,UNRESOLVED,UNKNOWN,image generation models,2026-09-06T13:43:06Z,blocked,0
Bungalow Media + Entertainment,production company,UNRESOLVED,UNKNOWN,NYC unscripted/docs,2026-09-06T13:43:06Z,blocked,0
Captions,ai media startup,UNRESOLVED,UNKNOWN,NYC HQ; AI video creation,2026-09-06T13:43:06Z,blocked,0
Centaur Labs,ai data company,UNRESOLVED,UNKNOWN,AI data,2026-09-06T13:43:06Z,blocked,0
Chelsea Pictures,commercial production,UNRESOLVED,UNKNOWN,NYC commercial production,2026-09-06T13:43:06Z,blocked,0
Chimney Group,post-production house,UNRESOLVED,UNKNOWN,NYC post,2026-09-06T13:43:06Z,blocked,0
Cinetic Media,film financing,UNRESOLVED,UNKNOWN,NYC sales/finance; research,2026-09-06T13:43:06Z,blocked,0
Company 3,post-production house,UNRESOLVED,UNKNOWN,NYC post; production coordination,2026-09-06T13:43:06Z,blocked,0
Cosmo Street,post-production house,UNRESOLVED,UNKNOWN,NYC editorial,2026-09-06T13:43:06Z,blocked,0
Crunchyroll,streaming service,UNRESOLVED,UNKNOWN,NYC content/programming,2026-09-06T13:43:06Z,blocked,0
DCTV,film nonprofit,UNRESOLVED,UNKNOWN,NYC doc centre,2026-09-06T13:43:06Z,blocked,0
Deepdub,entertainment technology,UNRESOLVED,UNKNOWN,AI localisation,2026-09-06T13:43:06Z,blocked,0
Descript,ai media startup,UNRESOLVED,UNKNOWN,AI video/audio editing,2026-09-06T13:43:06Z,blocked,0
Disguise,virtual production company,UNRESOLVED,UNKNOWN,NYC; virtual production,2026-09-06T13:43:06Z,blocked,0
Doomsday Entertainment,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Epic Games,entertainment technology,UNRESOLVED,UNKNOWN,Unreal/virtual production,2026-09-06T13:43:06Z,blocked,0
Final Cut,post-production house,UNRESOLVED,UNKNOWN,NYC editorial,2026-09-06T13:43:06Z,blocked,0
Flawless AI,entertainment technology,UNRESOLVED,UNKNOWN,AI film tools,2026-09-06T13:43:06Z,blocked,0
Fremantle,unscripted production,UNRESOLVED,UNKNOWN,NYC; development/production,2026-09-06T13:43:06Z,blocked,0
Fubo,streaming service,UNRESOLVED,UNKNOWN,NYC HQ,2026-09-06T13:43:06Z,blocked,0
Ghetto Film School,film nonprofit,UNRESOLVED,UNKNOWN,NYC film education,2026-09-06T13:43:06Z,blocked,0
Goldcrest Post,post-production house,UNRESOLVED,UNKNOWN,NYC post,2026-09-06T13:43:06Z,blocked,0
Half Yard Productions,unscripted production,UNRESOLVED,UNKNOWN,unscripted,2026-09-06T13:43:06Z,blocked,0
Handshake,ai data company,UNRESOLVED,UNKNOWN,NYC; AI training/eval roles,2026-09-06T13:43:06Z,blocked,0
Harbor Picture Company,post-production house,UNRESOLVED,UNKNOWN,NYC post,2026-09-06T13:43:06Z,blocked,0
HeyGen,ai media startup,UNRESOLVED,UNKNOWN,AI video avatars,2026-09-06T13:43:06Z,blocked,0
Hungry Man,commercial production,UNRESOLVED,UNKNOWN,NYC commercial production,2026-09-06T13:43:06Z,blocked,0
ITV America,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted; development coordinators,2026-09-06T13:43:06Z,blocked,0
Iconoclast,commercial production,UNRESOLVED,UNKNOWN,NYC commercial production,2026-09-06T13:43:06Z,blocked,0
Ideogram,ai media startup,UNRESOLVED,UNKNOWN,image generation,2026-09-06T13:43:06Z,blocked,0
Imagine Entertainment,production company,UNRESOLVED,UNKNOWN,NYC office; development,2026-09-06T13:43:06Z,blocked,0
Impact Partners,film financing,UNRESOLVED,UNKNOWN,NYC doc financing; research,2026-09-06T13:43:06Z,blocked,0
Invisible Technologies,ai data company,UNRESOLVED,UNKNOWN,remote AI training roles,2026-09-06T13:43:06Z,blocked,0
Killer Films,production company,UNRESOLVED,UNKNOWN,NYC indie producer; development roles,2026-09-06T13:43:06Z,blocked,0
Krea AI,ai media startup,UNRESOLVED,UNKNOWN,creative AI tools,2026-09-06T13:43:06Z,blocked,0
Labelbox,ai data company,UNRESOLVED,UNKNOWN,AI data,2026-09-06T13:43:06Z,blocked,0
Left/Right,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted/docs,2026-09-06T13:43:06Z,blocked,0
Leftfield Pictures,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted,2026-09-06T13:43:06Z,blocked,0
Leonardo.Ai,ai media startup,UNRESOLVED,UNKNOWN,creative AI,2026-09-06T13:43:06Z,blocked,0
Light Iron,post-production house,UNRESOLVED,UNKNOWN,NYC dailies/post,2026-09-06T13:43:06Z,blocked,0
Lion Television,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted; researchers,2026-09-06T13:43:06Z,blocked,0
Lionsgate,film studio,UNRESOLVED,UNKNOWN,NYC office; acquisitions/development,2026-09-06T13:43:06Z,blocked,0
Luminate,entertainment research,UNRESOLVED,UNKNOWN,entertainment data/research,2026-09-06T13:43:06Z,blocked,0
Lux Machina,virtual production company,UNRESOLVED,UNKNOWN,virtual production,2026-09-06T13:43:06Z,blocked,0
MJZ,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Mackcut,post-production house,UNRESOLVED,UNKNOWN,NYC editorial,2026-09-06T13:43:06Z,blocked,0
Made Up Stories,production company,UNRESOLVED,UNKNOWN,development,2026-09-06T13:43:06Z,blocked,0
Matador Content,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted/branded,2026-09-06T13:43:06Z,blocked,0
Mercor,ai data company,UNRESOLVED,UNKNOWN,AI expert work; flexible,2026-09-06T13:43:06Z,blocked,0
Metaphysic,entertainment technology,UNRESOLVED,UNKNOWN,synthetic media for film,2026-09-06T13:43:06Z,blocked,0
NEP Virtual Studios,virtual production company,UNRESOLVED,UNKNOWN,virtual production,2026-09-06T13:43:06Z,blocked,0
Netflix,streaming service,UNRESOLVED,UNKNOWN,"NYC office; content ops, production, research",2026-09-06T13:39:02Z,unresolved,0
Nice Shoes,post-production house,UNRESOLVED,UNKNOWN,NYC post/creative,2026-09-06T13:43:06Z,blocked,0
Object & Animal,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Optimist Inc.,commercial production,UNRESOLVED,UNKNOWN,content/production,2026-09-06T13:43:06Z,blocked,0
OpusClip,ai media startup,UNRESOLVED,UNKNOWN,AI video,2026-09-06T13:43:06Z,blocked,0
PRETTYBIRD,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Papercup,entertainment technology,UNRESOLVED,UNKNOWN,AI dubbing,2026-09-06T13:43:06Z,blocked,0
Park Pictures,commercial production,UNRESOLVED,UNKNOWN,NYC commercial production,2026-09-06T13:43:06Z,blocked,0
Part2 Pictures,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted,2026-09-06T13:43:06Z,blocked,0
Photoroom,ai media startup,UNRESOLVED,UNKNOWN,AI imaging,2026-09-06T13:43:06Z,blocked,0
Plan B Entertainment,production company,UNRESOLVED,UNKNOWN,development; occasional NYC roles,2026-09-06T13:43:06Z,blocked,0
Polycam,entertainment technology,UNRESOLVED,UNKNOWN,3D capture,2026-09-06T13:43:06Z,blocked,0
PostWorks New York,post-production house,UNRESOLVED,UNKNOWN,NYC post,2026-09-06T13:43:06Z,blocked,0
Protozoa Pictures,production company,UNRESOLVED,UNKNOWN,NYC (Aronofsky); development,2026-09-06T13:43:06Z,blocked,0
RadicalMedia,commercial/branded production,UNRESOLVED,UNKNOWN,NYC; production coordination,2026-09-06T13:43:06Z,blocked,0
Respeecher,entertainment technology,UNRESOLVED,UNKNOWN,voice AI for film,2026-09-06T13:43:06Z,blocked,0
Riff Raff Films,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Roku Media,streaming service,UNRESOLVED,UNKNOWN,NYC ad/content teams; Roku Originals,2026-09-06T13:43:06Z,blocked,0
Rooftop Films,film nonprofit,UNRESOLVED,UNKNOWN,NYC; programming,2026-09-06T13:43:06Z,blocked,0
Runway,ai media startup,UNRESOLVED,UNKNOWN,"NYC HQ; generative video, creative roles",2026-09-06T13:43:06Z,blocked,0
SMUGGLER,commercial production,UNRESOLVED,UNKNOWN,NYC commercial production,2026-09-06T13:43:06Z,blocked,0
Scale AI,ai data company,UNRESOLVED,UNKNOWN,AI evaluation/research roles,2026-09-06T13:43:06Z,blocked,0
Sharp Entertainment,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted,2026-09-06T13:43:06Z,blocked,0
Sikelia Productions,production company,UNRESOLVED,UNKNOWN,NYC (Scorsese); development/archival,2026-09-06T13:43:06Z,blocked,0
Silver Spoon,virtual production company,UNRESOLVED,UNKNOWN,NYC virtual production,2026-09-06T13:43:06Z,blocked,0
Snorkel AI,ai data company,UNRESOLVED,UNKNOWN,AI data,2026-09-06T13:43:06Z,blocked,0
Sony Pictures Entertainment,film studio,UNRESOLVED,UNKNOWN,NYC office; development/production,2026-09-06T13:43:06Z,blocked,0
Spline,entertainment technology,UNRESOLVED,UNKNOWN,3D/creative tooling,2026-09-06T13:43:06Z,blocked,0
Station Film,commercial production,UNRESOLVED,UNKNOWN,NYC commercial production,2026-09-06T13:43:06Z,blocked,0
Sugar23,production company,UNRESOLVED,UNKNOWN,development-heavy,2026-09-06T13:43:06Z,blocked,0
Sundance Institute,film nonprofit,UNRESOLVED,UNKNOWN,programming/research; remote-friendly,2026-09-06T13:43:06Z,blocked,0
Suno,ai media startup,UNRESOLVED,UNKNOWN,AI music,2026-09-06T13:43:06Z,blocked,0
Superprime,commercial production,UNRESOLVED,UNKNOWN,commercial production,2026-09-06T13:43:06Z,blocked,0
Surge AI,ai data company,UNRESOLVED,UNKNOWN,AI data/eval; remote,2026-09-06T13:43:06Z,blocked,0
Synthesia,ai media startup,UNRESOLVED,UNKNOWN,NYC office; synthetic media,2026-09-06T13:43:06Z,blocked,0
Talos Films,unscripted production,UNRESOLVED,UNKNOWN,NYC docs/unscripted,2026-09-06T13:43:06Z,blocked,0
The Gotham Film & Media Institute,film nonprofit,UNRESOLVED,UNKNOWN,NYC; programs/research,2026-09-06T13:43:06Z,blocked,0
Tool of North America,commercial production,UNRESOLVED,UNKNOWN,commercial/interactive,2026-09-06T13:43:06Z,blocked,0
Topic Studios,production company,UNRESOLVED,UNKNOWN,NYC; scripted + doc development,2026-09-06T13:43:06Z,blocked,0
Tribeca Enterprises,film festival,UNRESOLVED,UNKNOWN,NYC; programming/production,2026-09-06T13:43:06Z,blocked,0
Truly Original,unscripted production,UNRESOLVED,UNKNOWN,NYC unscripted,2026-09-06T13:43:06Z,blocked,0
Tubi,streaming service,UNRESOLVED,UNKNOWN,NYC content ops,2026-09-06T13:43:06Z,blocked,0
Turing,ai data company,UNRESOLVED,UNKNOWN,remote AI training,2026-09-06T13:43:06Z,blocked,0
Union Editorial,post-production house,UNRESOLVED,UNKNOWN,editorial,2026-09-06T13:43:06Z,blocked,0
UnionDocs,film nonprofit,UNRESOLVED,UNKNOWN,Brooklyn doc centre,2026-09-06T13:43:06Z,blocked,0
Unity,entertainment technology,UNRESOLVED,UNKNOWN,NYC office; virtual production,2026-09-06T13:43:06Z,blocked,0
Wall to Wall Media,unscripted production,UNRESOLVED,UNKNOWN,researcher roles,2026-09-06T13:43:06Z,blocked,0
Wonder Dynamics,entertainment technology,UNRESOLVED,UNKNOWN,AI VFX,2026-09-06T13:43:06Z,blocked,0
m ss ng p eces,commercial production,UNRESOLVED,UNKNOWN,NYC content/branded,2026-09-06T13:43:06Z,blocked,0
3 Arts Entertainment,management company,UNRESOLVED,UNKNOWN,management/production,2026-09-06T13:43:06Z,blocked,0
A3 Artists Agency,talent agency,UNRESOLVED,UNKNOWN,NYC talent agency,2026-09-06T13:43:06Z,blocked,0
AKQA,creative agency,UNRESOLVED,UNKNOWN,NYC; creative technology,2026-09-06T13:43:06Z,blocked,0
Active Theory,creative agency,UNRESOLVED,UNKNOWN,creative technology/WebGL,2026-09-06T13:43:06Z,blocked,0
Alkemy X,vfx studio,UNRESOLVED,UNKNOWN,NYC VFX/production,2026-09-06T13:43:06Z,blocked,0
Amazon MGM Studios,studio/streamer,UNRESOLVED,UNKNOWN,NYC studios presence,2026-09-06T13:43:06Z,blocked,0
Anomaly,creative agency,UNRESOLVED,UNKNOWN,NYC agency,2026-09-06T13:43:06Z,blocked,0
Apple TV+,studio/streamer,UNRESOLVED,UNKNOWN,NYC content teams,2026-09-06T13:43:06Z,blocked,0
Area 17,creative agency,UNRESOLVED,UNKNOWN,NYC digital studio,2026-09-06T13:43:06Z,blocked,0
Ark Media,documentary company,UNRESOLVED,UNKNOWN,NYC docs; archival research,2026-09-06T13:43:06Z,blocked,0
Artists First,management company,UNRESOLVED,UNKNOWN,management/development,2026-09-06T13:43:06Z,blocked,0
Artjail,vfx studio,UNRESOLVED,UNKNOWN,NYC VFX,2026-09-06T13:43:06Z,blocked,0
Audacy,audio media,UNRESOLVED,UNKNOWN,NYC audio production,2026-09-06T13:43:06Z,blocked,0
Augenblick Studios,animation studio,UNRESOLVED,UNKNOWN,Brooklyn animation,2026-09-06T13:43:06Z,blocked,0
BBDO,creative agency,UNRESOLVED,UNKNOWN,NYC agency,2026-09-06T13:43:06Z,blocked,0
BRIC,arts nonprofit,UNRESOLVED,UNKNOWN,Brooklyn media arts,2026-09-06T13:43:06Z,blocked,0
Betty Mae Casting,casting company,UNRESOLVED,UNKNOWN,NYC casting,2026-09-06T13:43:06Z,blocked,0
Big Spaceship,creative agency,UNRESOLVED,UNKNOWN,Brooklyn creative,2026-09-06T13:43:06Z,blocked,0
Blacklist,animation studio,UNRESOLVED,UNKNOWN,NYC artist rep/production,2026-09-06T13:43:06Z,blocked,0
Bleecker Street,distributor,UNRESOLVED,UNKNOWN,NYC distributor,2026-09-06T13:43:06Z,blocked,0
Brooklyn Academy of Music,arts nonprofit,UNRESOLVED,UNKNOWN,NYC; programming/production,2026-09-06T13:43:06Z,blocked,0
Buchwald,talent agency,UNRESOLVED,UNKNOWN,NYC talent agency,2026-09-06T13:43:06Z,blocked,0
Buck,animation studio,UNRESOLVED,UNKNOWN,NYC design/animation,2026-09-06T13:43:06Z,blocked,0
Business Insider,publisher,UNRESOLVED,UNKNOWN,NYC; research/editorial,2026-09-06T13:43:06Z,blocked,0
Business of Fashion,editorial research,UNRESOLVED,UNKNOWN,NYC editorial/research,2026-09-06T13:43:06Z,blocked,0
CB Insights,research organisation,UNRESOLVED,UNKNOWN,NYC research analyst,2026-09-06T13:43:06Z,blocked,0
Cartuna,animation studio,UNRESOLVED,UNKNOWN,NYC animation,2026-09-06T13:43:06Z,blocked,0
Code and Theory,creative agency,UNRESOLVED,UNKNOWN,NYC digital/creative,2026-09-06T13:43:06Z,blocked,0
Concordia Studio,documentary company,UNRESOLVED,UNKNOWN,doc studio; development/research,2026-09-06T13:43:06Z,blocked,0
Condé Nast,publisher,UNRESOLVED,UNKNOWN,NYC; editorial/research/video,2026-09-06T13:43:06Z,blocked,0
Creative Artists Agency,talent agency,UNRESOLVED,UNKNOWN,NYC office; assistant/coordinator roles,2026-09-06T13:43:06Z,blocked,0
Droga5,creative agency,UNRESOLVED,UNKNOWN,NYC agency; creative production/strategy,2026-09-06T13:43:06Z,blocked,0
EMARKETER,research organisation,UNRESOLVED,UNKNOWN,NYC; analyst/research writing,2026-09-06T13:43:06Z,blocked,0
Eyeline Studios,vfx studio,UNRESOLVED,UNKNOWN,Netflix R&D/VFX,2026-09-06T13:43:06Z,blocked,0
Field of Vision,documentary company,UNRESOLVED,UNKNOWN,NYC doc unit,2026-09-06T13:43:06Z,blocked,0
Film Forum,cinema,UNRESOLVED,UNKNOWN,NYC repertory cinema,2026-09-06T13:43:06Z,blocked,0
Firelight Media,documentary company,UNRESOLVED,UNKNOWN,NYC nonprofit doc org; low-drain,2026-09-06T13:43:06Z,blocked,0
Forrester,research organisation,UNRESOLVED,UNKNOWN,research roles,2026-09-06T13:43:06Z,blocked,0
Frame.io,media technology,UNRESOLVED,UNKNOWN,NYC; post workflow,2026-09-06T13:43:06Z,blocked,0
Framestore,vfx studio,UNRESOLVED,UNKNOWN,NYC VFX; production coordination,2026-09-06T13:43:06Z,blocked,0
Grandview,management company,UNRESOLVED,UNKNOWN,management/development,2026-09-06T13:43:06Z,blocked,0
Grant Wilfley Casting,casting company,UNRESOLVED,UNKNOWN,NYC casting,2026-09-06T13:43:06Z,blocked,0
Gut,creative agency,UNRESOLVED,UNKNOWN,NYC agency,2026-09-06T13:43:06Z,blocked,0
Hearst,publisher,UNRESOLVED,UNKNOWN,NYC; editorial/research,2026-09-06T13:43:06Z,blocked,0
