role_id,role_title,company,role_family,location,work_mode,evidence_level,required_software,preferred_software,ai_workflow_requirements,motion_requirements,filmmaking_requirements,coding_requirements,3d_requirements,yoe,portfolio_expectation,portfolio_substitutes_yoe,production_responsibilities,comp_signal,course_alignment,source
R12,AI Artists (Live Action to AI project),iBible Animated Series,Generative AI Artist,Remote,Contract,named-listing,ComfyUI (training provided),Not stated,ComfyUI conversion workflow,Not stated,Animated series context,Not stated,Not stated,Junior-friendly,Portfolio expected,Yes,Convert live action to AI-generated animation,Not disclosed,DIRECT - explicitly trains ComfyUI; entry-level friendly,aiartistjobs.co (iBible listing)
R13,Video Editor & Motion Designer (AI Social Content),Lightricks,Motion + AI,New York NY,Hybrid,named-listing,LTX Studio / LTX-2; NLE; motion tools,After Effects,Create high-quality AI-generated video for marketing/social,Motion design core,Editing core,Not stated,Not stated,Not stated,Reel expected,Likely,Platform-native social strategy; rapid format adaptation,Not disclosed,PARTIAL - social/UGC lean which the brief excludes; kept as market datapoint,builtinnyc.com/job/ai-video-creator/8538329
R14,Motion Designer,Solve Intelligence,Motion + AI,New York NY,Hybrid,named-listing,After Effects; motion suite,Not stated,Not stated,Lead social and conference motion graphics; build scalable motion design system,Not stated,Not stated,Not stated,Not stated,Reel expected,Likely,Animate product-embedded assets; motion system ownership,Not disclosed,PARTIAL - classic motion design; AE module covers,builtinnyc.com/job/motion-designer/9722423
R15,"Director, Creative Technology (US)",Code and Theory,Creative Technologist,United States,Remote/Hybrid,named-listing,Creative technology stack,Not stated,Lead creative technology practice,Not stated,Not stated,Yes - engineering leadership,Not stated,Senior/Director,Portfolio + case studies,No,Practice leadership,Not disclosed,NOT READY - senior benchmark only,builtin.com/job/director-creative-technology-us/10829738
R16,AI Filmmaker,WPP Production,AI Filmmaker,Not stated,Not stated,named-listing,AI video generation tools; NLE; VFX,ComfyUI; open-source models; Veo; Gemini,Leverage genAI across the production process,Editing/VFX,Strong filmmaking principles and storytelling,Not stated,Not stated,Not stated,Reel required,Likely,End-to-end AI film production for a holding-company production arm,Not disclosed,DIRECT - the literal target title at a major holding company,wppproduction.com/careers/job/ai-filmmaker-6105412004
R17,AI Video Creative,Superside,AI Video Artist,Remote,Remote,named-listing,GenAI video tools; post suite,Not stated,Combine storytelling; visual craft and emerging AI workflows,Post-production required,STRONG foundation in filmmaking / cinematography / post REQUIRED,Not stated,Not stated,Not stated,Reel required,Likely,Produce high-quality video using generative AI at agency scale,Not disclosed,DIRECT - craft-first framing matches this course's thesis,dynamitejobs.com/company/superside/remote-job/ai-video-creative
R18,Technical Artist - Generative AI,(Built In listing),AI/VFX + Technical Artist,United States,Not stated,named-listing,Stable Diffusion; ComfyUI; Automatic1111,Dreambooth; LoRA; IP-Adapter; T2I-Adapter; Embeddings,Hands-on with fine-tuned models and extensions to generate consistent high-quality results,Not stated,Photorealistic imagery,Basic Python scripting; Git,Not stated,Not stated,Portfolio expected,Partial,Integrate genAI techniques into the production pipeline,USD 60k-140k,STRETCH - LoRA/Dreambooth training is parked in this course,builtin.com/job/technical-artist-generative-ai/3564729
R19,Generative AI Engineer (Image),(Built In listing),Creative AI Engineer,United States,Not stated,named-listing,Python; image gen stack,ComfyUI,Model integration and evaluation,Not stated,Not stated,Strong Python required,Not stated,Not stated,Code portfolio,No,Build image generation systems,Not disclosed,STRETCH - leans ML engineering which the brief excludes,builtin.com/job/generative-ai-engineer-image/3939258
R20,Senior Video Producer and Motion Designer,C3.ai,Motion + AI,Redwood City CA,Onsite,named-listing,Premiere Pro; After Effects; Photoshop; Illustrator,Cinema 4D,Familiarity with AI-powered editing workflows,Motion design core,Pre and post production; sound design,Not stated,C4D,8+ years,Reel required,No,End-to-end video production for a software company,Not disclosed,PARTIAL - senior; shows the Adobe bar,mediabistro.com/jobs/3541083728
R21,"Producer, AI & VFX Production",Promise Studios,AI Pipeline / Production,Los Angeles CA,Onsite,named-listing,Production management,ShotGrid,Coordinate AI+VFX production,Not stated,Production management,Not stated,Not stated,Mid-Senior,Not stated,No,Schedule and deliver AI/VFX shots,Not disclosed,NOT READY - production management track,sonara.ai/job-details/producer-at-promise-studios
R22,AI Video Designer (senior),Curious Refuge board aggregate,AI Video Artist,Remote-heavy,Remote/Hybrid,board-aggregate,AI video tools; NLE,AI compositing tools,Generative tools and experimental workflows,Motion required,AI filmmaking,Not stated,Not stated,Mixed,Reel required,Frequently,AI video generation; editing; animation; VFX,Not disclosed,DIRECT - ~70pct of this board is remote/hybrid,curiousrefuge.com/ai-jobs-board
R23,AI Video Creator,Curious Refuge board aggregate,AI Video Artist,Remote-heavy,Remote,board-aggregate,AI video tools,Not stated,Generative video production,Editing,Not stated,Not stated,Not stated,Junior-friendly,Reel required,Yes,Produce AI video content,Not disclosed,DIRECT - realistic first hire target,curiousrefuge.com/ai-jobs-board
R24,VFX Artist (AI-assisted compositing),Curious Refuge board aggregate,VFX + GenAI,Remote-heavy,Remote,board-aggregate,Compositing software,Nuke; After Effects,AI-assisted compositing,Not stated,VFX,Not stated,Not stated,Mixed,Reel required,Partial,Composite AI-generated elements,Not disclosed,STRETCH - Nuke gap,curiousrefuge.com/ai-jobs-board
R25,Generative AI Artist (market aggregate),ZipRecruiter aggregate,Generative AI Artist,United States,Mixed,board-aggregate,Adobe Creative Suite; Python; generative models,Stable Diffusion; ComfyUI,Incorporate AI-assisted creative workflows while holding professional visual standards,Motion often required,Varies,Python often listed,Real-time 3D sometimes,Mixed,Portfolio expected,Frequently,Product visualisation; animated campaigns; 3D content,USD 95k-250k posted range; ~111753 avg,DIRECT - the aggregate the course targets,ziprecruiter.com/Jobs/Generative-Ai-Artist
R26,AI Artist (NYC market aggregate),ZipRecruiter / Glassdoor aggregate,AI Artist,New York NY,Mixed,board-aggregate,Generative AI tools,ComfyUI; Adobe,AI-assisted artwork production,Varies,Varies,Sometimes Python,Sometimes,Mixed,Portfolio critical,Frequently,Client and campaign AI imagery/video,USD 127k-230k posted ranges,DIRECT,ziprecruiter.com/Jobs/Ai-Artist/--in-New-York
R27,AI Creative Technologist (NYC aggregate),ZipRecruiter aggregate,AI Creative Technologist,New York NY,Mixed,board-aggregate,GenAI platforms,ComfyUI; Adobe GenStudio,Build and manage generative creative workflows,Varies,Varies,Python; AI-assisted coding tools,Sometimes,Mixed,Portfolio critical,Frequently,Prototype creative applications,Not disclosed,DIRECT,ziprecruiter.com/Jobs/Ai-Creative-Technologist/--in-New-York
R28,Creative Technologist (NYC aggregate),Indeed / Glassdoor aggregate,Creative Technologist,New York NY,Mixed,board-aggregate,Creative coding stack,GenAI tooling,Increasingly genAI-inflected,Varies,Varies,JS/Python; prototyping,WebGL/Three.js sometimes,Mixed,Portfolio critical,Frequently,Prototype creative applications and installations,Not disclosed,DIRECT - your JS/Three.js background maps here,"indeed.com/q-creative-technologist-l-new-york,-ny-jobs.html"
R29,AI Filmmaking (market aggregate),ZipRecruiter aggregate,AI Filmmaker,United States,Mixed,board-aggregate,AI video tools; editing software; VFX systems,RunwayML; Pika; Adobe AI,AI across scriptwriting; editing; VFX,Editing,Strong film production and storytelling background,Not stated,Not stated,Mixed,Reel required,Yes,Use AI to assist/automate filmmaking stages,Median USD 82.9k; FT avg ~123.5k,DIRECT - the literal target,ziprecruiter.com/Jobs/Ai-Filmmaking
R30,Technical Artist / Pipeline (genAI-inflected),Glassdoor aggregate,AI Pipeline / Technical Artist,United States,Mixed,board-aggregate,DCC + Python,Git; ComfyUI,Explore and adopt AI-assisted workflows in pipeline,Not stated,Not stated,Basic Python scripting; Git required,Yes,Mixed,Portfolio + code,Partial,Contribute to workflow and pipeline improvements,Not disclosed,STRETCH - needs studio pipeline exposure,glassdoor.com/Job/technical-artist-pipeline-developer-jobs
R31,3D Artist (AI-era),Rework 2026 JD template,Generative Production Artist,United States,Mixed,jd-template,3D DCC,Stable Diffusion; Midjourney; Luma AI,AI fluency; daily use of gen tools for concept reference and material exploration,Not stated,Not stated,Not stated,Core 3D required,Mixed,Portfolio required,Partial,3D content production with AI assist,Not disclosed,PARTIAL - course does previs-grade 3D only,resources.rework.com/.../3d-artist
R32,Senior Motion Graphics Designer (2026 JD),Rework 2026 JD template,Motion + AI,United States,Mixed,jd-template,After Effects; Premiere; Adobe CC,Cinema 4D,Leverage AI tools to work faster; focus on strategy and storytelling,Core,Typography; colour; pacing; composition,Not stated,C4D,6-10 years,Reel required,No,Brand motion at agency standard,Not disclosed,PARTIAL - senior benchmark for the AE/Premiere bar,resources.rework.com/.../senior-motion-graphics-designer
R33,Generative AI Developer (2026 JD),Rework 2026 JD template,Creative AI Engineer,United States,Mixed,jd-template,Python; AI frameworks,TensorFlow; PyTorch,Model integration,Not stated,Not stated,Strong engineering,Not stated,Mixed,Code portfolio,No,Build genAI applications,Not disclosed,REJECT - this is the ML-engineer path the brief excludes,resources.rework.com/.../generative-ai-developer
R34,Principal Creative Technologist - Video and Generative AI,Jobright aggregate,AI Creative Technologist,United States,Mixed,board-aggregate,GenAI video stack,ComfyUI,Lead generative video capability,Motion,Video,Yes,Sometimes,Principal,Portfolio required,No,Own the genAI video practice,Not disclosed,NOT READY - principal level; shows ceiling,jobright.ai/job-list/principal-creative-technologist---video-and-generative-ai-jobs
R35,AI Video Generation roles (volume aggregate),Internshala aggregate (51 roles),AI Video Artist,Global/Remote,Remote,board-aggregate,AI video generators,Editing tools,Prompt + produce,Editing,Basic,Not stated,Not stated,Junior,Samples required,Yes,Produce AI video at volume,Low,PARTIAL - low end of market; avoid anchoring here,internshala.com/jobs/ai-video-generation-jobs/
R36,AI Editor (market aggregate),ZipRecruiter aggregate,Motion + AI,United States,Mixed,board-aggregate,NLE,AI editing tools,AI-assisted editorial,Editing core,Editing,Not stated,Not stated,Mixed,Reel required,Yes,Cut with AI-assisted tools,USD 50k-126k,PARTIAL - Premiere module covers,ziprecruiter.com/Jobs/Ai-Editor
R37,Creative Technologist (agency design aggregate),Built In NYC aggregate,Creative Technologist,New York NY,Hybrid,board-aggregate,Creative stack,GenAI tools,Generate AI imagery and video for clients,Varies,Varies,Prototyping,Sometimes,Mixed,Portfolio critical,Frequently,Translate briefs into high-quality AI output,Not disclosed,DIRECT,builtinnyc.com/jobs/design-ux/agency
R38,Remote AI Design roles (NYC-compatible),Built In NYC remote aggregate,Design Technologist,Remote (NYC-compatible),Remote,board-aggregate,Design + GenAI stack,ComfyUI,AI-integrated design workflows,Varies,Varies,Prototyping,Sometimes,Mixed,Portfolio critical,Frequently,Design with generative systems,Not disclosed,DIRECT - remote NYC-compatible is a key target band,builtinnyc.com/jobs/remote/design-ux/artificial-intelligence
R39,AI Visual Artist & Creative Technologist,GetCanadianJob listing,AI Creative Technologist,Canada,Not stated,named-listing,GenAI tools,Not stated,AI visual production,Varies,Varies,Creative coding,Not stated,Not stated,Portfolio expected,Likely,Produce AI visual work,Not disclosed,PARTIAL - non-US benchmark,getcanadianjob.com/jobs/view/ai-visual-artist-creative-technologist
R40,Unreal Engine Artist (market aggregate),ZipRecruiter aggregate,AI/VFX Artist,United States,Mixed,board-aggregate,Unreal Engine,Blender; Maya,Sometimes AI-inflected,Not stated,Virtual production sometimes,Blueprint/Python sometimes,Core Unreal,Mixed,Reel required,Partial,Real-time content production,USD 21-47/hr posted,REJECT AS TARGET - course teaches Unreal virtual camera only; role needs full UE art,ziprecruiter.com/Jobs/Unreal-Engine-Artist
R41,Midjourney/AI generalist (NYC aggregate),ZipRecruiter aggregate,AI Artist,New York NY,Mixed,board-aggregate,Midjourney; gen tools,Adobe,Prompt-led production,Varies,Varies,Not stated,Not stated,Junior,Portfolio expected,Yes,Produce AI imagery,USD 49-127/hr posted,PARTIAL - prompt-only floor,ziprecruiter.com/Jobs/Midjourney-Ai/--in-New-York
R42,AI creative artist (NYC volume aggregate),Glassdoor aggregate (1308 roles),AI Artist,New York NY,Mixed,board-aggregate,Varies,Varies,Varies widely,Varies,Varies,Varies,Varies,Mixed,Portfolio expected,Frequently,Broad NYC AI-creative demand pool,Not disclosed,CONTEXT - shows depth of NYC demand pool,glassdoor.com/Job/new-york-ny-ai-creative-artist-jobs
